Algorithm,Mean Reward (last 50),Max Reward,Min Reward,Std Reward,Avg Time per Step (s),Total Training Time (s)
PPO_BEST,15714.8,17932.92,8649.47,1905.18,0.003132,312.91
A2C_BEST,15155.7,18515.0,5550.12,1642.26,0.002011,201.73
TRPO_BEST,15170.63,17943.32,1424.52,3165.02,0.002385,239.25
SAC_BEST2,13916.6,17765.0,830.0,2650.35,0.017691,1767.44
