#{"t_start": 1756653847.2191644, "env_id": "None"}
r,l,t
12640.0,288,154.134839
15365.0,288,154.694363
17115.0,288,155.296714
15815.0,288,155.858712
16635.0,288,156.413213
15420.0,288,156.992004
14815.0,288,157.560915
17330.0,288,158.131994
17065.0,288,158.707799
13100.0,288,159.266819
14590.0,288,159.825932
16800.0,288,160.433234
15410.0,288,161.000499
14385.0,288,161.558787
15930.0,288,162.139071
16380.0,288,162.70844
14910.0,288,163.263987
11975.0,288,163.847824
16320.0,288,164.409903
15425.0,288,164.967918
9450.0,288,165.576771
16145.0,288,166.140082
14270.0,288,166.694534
18515.0,288,167.276217
9660.0,288,167.842005
17065.0,288,168.406741
17345.0,288,168.998591
14940.0,288,169.563914
12565.0,288,170.140741
15695.0,288,170.758696
15395.0,288,171.324321
16295.0,288,171.879904
15980.0,288,172.460459
17565.0,288,173.024113
12075.0,288,173.589433
10810.0,288,174.179897
13635.0,288,174.738954
14830.0,288,175.327157
15795.0,288,175.9097
14685.0,288,176.470915
16285.0,288,177.039024
15165.0,288,177.621917
17800.0,288,178.179575
11775.0,288,178.743017
15240.0,288,179.315982
15025.0,288,179.870286
15260.0,288,180.461997
17545.0,288,181.033592
14295.0,288,181.584255
15215.0,288,182.161185
15930.0,288,182.741514
16775.0,288,183.299772
16005.0,288,183.878123
13805.0,288,184.446878
16025.0,288,185.003484
15290.0,288,185.598383
15645.0,288,186.177246
15145.0,288,186.738843
16690.0,288,187.306943
15905.0,288,187.883275
16960.0,288,188.446177
16020.0,288,189.019819
15950.0,288,189.593069
15185.0,288,190.147784
13575.0,288,190.777162
14190.0,288,191.349452
16535.0,288,191.909241
13495.0,288,192.500749
15210.0,288,193.106242
14650.0,288,193.664132
11615.0,288,194.245173
15925.0,288,194.81366
16845.0,288,195.385095
16520.0,288,195.990735
15135.0,288,196.560564
12905.0,288,197.118159
16030.0,288,197.698602
15675.0,288,198.263951
15385.0,288,198.829291
16395.0,288,199.444424
15655.0,288,200.002805
13295.0,288,200.565224
14875.0,288,201.178023
17110.0,288,201.73228
