#{"t_start": 1756231885.3092296, "env_id": "None"}
r,l,t
10385.0,288,211.655731
19515.0,288,212.45768
13270.0,288,213.298056
14410.0,288,214.089648
16145.0,288,214.932243
16240.0,288,215.700972
18580.0,288,216.532024
17225.0,288,217.315978
11310.0,288,218.14822
15660.0,288,218.931114
18480.0,288,219.657795
4215.0,288,220.429777
13490.0,288,221.154613
17210.0,288,221.978575
17065.0,288,222.749979
13960.0,288,223.550309
18490.0,288,224.369837
17955.0,288,225.163639
12680.0,288,225.943625
13875.0,288,226.666231
16345.0,288,227.437003
17325.0,288,228.180558
13645.0,288,229.002295
19735.0,288,229.7593
16605.0,288,230.558708
15985.0,288,231.379354
19945.0,288,232.20247
17530.0,288,233.002665
17480.0,288,233.798685
14100.0,288,234.57573
10235.0,288,235.407522
14355.0,288,236.220601
14770.0,288,237.027639
16900.0,288,237.880545
14225.0,288,238.714087
15585.0,288,239.516677
14375.0,288,240.34358
17420.0,288,241.202106
14140.0,288,241.984862
15335.0,288,242.777133
17485.0,288,243.577327
14110.0,288,244.361
8825.0,288,245.228997
16090.0,288,246.054605
13830.0,288,246.894229
17145.0,288,247.880116
14695.0,288,248.865447
16520.0,288,249.626154
14595.0,288,250.516581
11990.0,288,251.311281
16510.0,288,252.238457
18085.0,288,253.062102
11350.0,288,253.900444
16330.0,288,254.762079
13525.0,288,255.571096
17220.0,288,256.45256
10580.0,288,257.305127
17585.0,288,258.165805
18150.0,288,258.909015
17545.0,288,259.797807
17420.0,288,260.652982
16695.0,288,261.571837
16045.0,288,262.403298
17750.0,288,263.265298
19070.0,288,263.991944
16865.0,288,264.728616
9695.0,288,265.475322
18985.0,288,266.287287
15525.0,288,267.08278
15090.0,288,267.837686
16480.0,288,268.720957
9705.0,288,269.551466
18325.0,288,270.367638
14655.0,288,271.096843
18720.0,288,271.87855
9650.0,288,272.604324
17410.0,288,273.316067
16720.0,288,274.060121
18395.0,288,274.818949
17690.0,288,275.596213
15285.0,288,276.363623
14165.0,288,277.116175
13035.0,288,277.842374
13170.0,288,278.635025
17465.0,288,279.422482
16750.0,288,280.244166
16465.0,288,281.051795
14475.0,288,281.826086
